"sci_name","comm_name","year","catch_mt","value_usd","name_label"
"Lutjanus analis","Mutton snapper",1951,520.3449069036,818717.113708774,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1952,529.4288290361,965381.855963906,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1953,538.2067691038,958537.427567947,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1954,571.1918708247,958629.29135882,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1955,554.8447030424,844597.181416617,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1956,587.2178406329,1027518.62619697,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1957,570.2587087198,898091.865952717,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1958,602.0198821794,894049.427066471,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1959,584.4487861356,865893.941265528,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1960,591.0848517454,921419.805188802,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1961,587.2870902451,846282.877640277,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1962,607.6708469915,926617.829110195,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1963,615.4300868381,910237.715045931,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1964,622.8213816447,999761.601315372,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1965,629.8447314111,1042333.19523591,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1966,636.5933845157,1169590.10800909,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1967,642.9857486278,1137533.73628451,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1968,673.5349674658,1283430.30999582,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1969,654.7016098731,1516098.41029767,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1970,660.0251070067,1537521.88652081,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1971,660.530641426,1671342.00306145,"Mutton snapper
(Lutjanus analis)"
