"sci_name","comm_name","year","gear_type","catch_mt","value_usd","name_label"
"Lutjanus analis","Mutton snapper",2015,"subsistence fishing gear",91.8938590589,329133.918898455,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2016,"small scale hand lines",58.4167890096,246041.787978241,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2016,"subsistence fishing gear",82.2354895055,346362.188272342,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2017,"small scale hand lines",54.2778069328,216624.512122888,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2017,"subsistence fishing gear",72.7378807191,290299.273571489,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2018,"small scale hand lines",50.0079820693,78851.8074525468,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2018,"subsistence fishing gear",63.463034218,100067.524171976,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2019,"small scale hand lines",45.6213872035,75316.5727739145,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2019,"subsistence fishing gear",53.5279636793,88369.5788097698,"Mutton snapper
(Lutjanus analis)"
"Lutjanus apodus","Schoolmaster snapper",2001,"small scale hand lines",1.575926922,901.972048315519,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2001,"subsistence fishing gear",1.6229263218,928.87186468885,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2002,"small scale hand lines",3.0458773661,1746.76985038702,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2002,"subsistence fishing gear",3.2398641463,1858.01866918692,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2003,"small scale hand lines",4.2362452309,2558.93632759942,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2003,"subsistence fishing gear",4.8333480896,2919.6208755758,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2004,"small scale hand lines",5.1996406447,3593.09398400785,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2004,"subsistence fishing gear",6.3857424241,4412.72277368209,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2005,"small scale hand lines",6.0466879656,4737.77170112038,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2005,"subsistence fishing gear",7.879241079,6173.63515734919,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2006,"small scale hand lines",6.6985285583,6097.41251867194,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2006,"subsistence fishing gear",9.2958676399,8461.67023487501,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2007,"small scale hand lines",7.1571454318,5750.80466017172,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2007,"subsistence fishing gear",10.6174753491,8531.19826880557,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2008,"small scale hand lines",6.7376412644,7039.89856888344,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2008,"subsistence fishing gear",11.8257471054,12356.2619108309,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2009,"small scale hand lines",7.4780672146,7101.92707346967,"Schoolmaster snapper
(Lutjanus apodus)"
