sci_name,comm_name,year,gear_type,catch_mt,value_usd,name_label
Epinephelus striatus,Nassau grouper,1989,small scale pole lines,2.050589963,7687.708933,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1989,subsistence fishing gear,7.659165313,28714.38692,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1990,small scale gillnets,7.70156325,24855.07024,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1990,small scale pole lines,2.175923741,7022.306466,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1990,subsistence fishing gear,6.98901301,22555.47395,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1991,small scale gillnets,6.686806684,23645.52471,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1991,small scale pole lines,2.660528136,9408.015927,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1991,subsistence fishing gear,6.110790179,21608.64625,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1992,small scale gillnets,5.826916115,15753.87183,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1992,small scale pole lines,2.402669411,6495.948322,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1992,subsistence fishing gear,5.820164474,15735.61784,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1993,small scale gillnets,5.345954575,18254.77763,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1993,small scale pole lines,2.057585064,7026.015142,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1993,subsistence fishing gear,5.237835361,17885.58403,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1994,small scale gillnets,4.63688238,12085.22247,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1994,small scale pole lines,1.783964876,4649.592255,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1994,subsistence fishing gear,4.812152744,12542.034,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1995,small scale gillnets,4.620218869,15337.40792,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1995,small scale pole lines,1.469150507,4877.033158,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1995,subsistence fishing gear,4.660269047,15470.35962,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1996,small scale gillnets,4.622987789,10030.9774,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1996,small scale pole lines,1.815713867,3939.743211,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1996,subsistence fishing gear,4.528470345,9825.893069,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1997,small scale gillnets,4.117113098,12041.39479,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1997,small scale pole lines,1.300853869,3804.630725,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1997,subsistence fishing gear,4.356342504,12741.07333,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1998,small scale gillnets,4.000729342,11841.72677,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1998,small scale pole lines,1.316561118,3896.87872,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1998,subsistence fishing gear,4.14137844,12258.03291,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1999,small scale gillnets,3.853017796,11006.91594,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1999,small scale pole lines,1.226098729,3502.59624,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1999,subsistence fishing gear,4.054433046,11582.29888,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2000,small scale gillnets,2.994435286,8338.876434,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2000,small scale pole lines,1.276008647,3553.417397,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2000,subsistence fishing gear,4.062386602,11312.89765,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2001,small scale gillnets,3.822446326,14785.16505,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2001,subsistence fishing gear,3.936444431,15226.10801,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2002,small scale gillnets,3.335481351,8330.988408,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2002,small scale pole lines,0.233705005,583.7219517,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2002,subsistence fishing gear,3.7965018,9482.473192,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2003,small scale gillnets,3.193723949,12746.89322,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2003,subsistence fishing gear,3.643882425,14543.58014,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2004,small scale gillnets,2.718323,10379.13078,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2004,small scale pole lines,0.115232276,439.981145,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2004,subsistence fishing gear,3.479923974,13287.084,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2005,small scale gillnets,2.537074013,11634.12584,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2005,subsistence fishing gear,3.305978066,15160.0484,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2006,small scale gillnets,2.081157146,9493.647851,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2006,small scale pole lines,0.169547546,773.4277518,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2006,subsistence fishing gear,3.123410273,14248.11061,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2007,small scale gillnets,1.977513673,16042.47091,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2007,subsistence fishing gear,2.933600117,23798.6696,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2008,small scale gillnets,1.444208223,8803.262205,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2008,small scale pole lines,0.115715611,705.3517995,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2008,subsistence fishing gear,2.737941075,16689.29231,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2009,small scale gillnets,1.47092349,8853.341395,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2009,subsistence fishing gear,2.604507451,15676.26989,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2010,small scale gillnets,1.269741868,8666.813584,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2010,small scale pole lines,0.150108456,1024.58778,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2010,subsistence fishing gear,2.472217589,16874.49199,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2011,small scale gillnets,1.370058041,8933.491719,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2011,subsistence fishing gear,2.321233688,15135.65215,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2012,small scale gillnets,0.939634648,5265.940666,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2012,small scale pole lines,0.379158809,2124.898009,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2012,subsistence fishing gear,2.167923797,12149.57123,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2013,small scale gillnets,1.265992323,8490.410787,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2013,subsistence fishing gear,2.012946108,13499.87597,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2014,small scale gillnets,0.915676716,6624.313183,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2014,small scale pole lines,0.295912826,2140.73286,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2014,subsistence fishing gear,1.857007604,13434.21726,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2015,small scale gillnets,1.157049699,8608.678292,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2015,subsistence fishing gear,1.700846076,12654.63074,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2016,small scale gillnets,0.972579996,7734.857444,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2016,small scale pole lines,0.125112083,995.0072273,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2016,subsistence fishing gear,1.545262021,12289.35562,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2017,small scale gillnets,0.95766947,8200.187493,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2017,small scale pole lines,0.080379968,688.2654479,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2017,subsistence fishing gear,1.391093716,11911.44717,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2018,small scale gillnets,0.914439368,7302.034031,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2018,small scale pole lines,0.062063117,495.5899858,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2018,subsistence fishing gear,1.239238378,9895.637843,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2019,small scale gillnets,0.856217964,6837.121119,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2019,small scale pole lines,0.057142928,456.3010054,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,2019,subsistence fishing gear,1.071654144,8557.434539,"Nassau grouper
(Epinephelus striatus)"
Gerres cinereus,Yellow fin mojarra,1950,small scale gillnets,9.692307692,0.395669639,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1950,subsistence fishing gear,11.34462183,0.463122155,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1951,small scale gillnets,10.70637819,0.654770731,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1951,subsistence fishing gear,11.50051751,0.703337966,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1952,small scale gillnets,10.94954474,0.625640256,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1952,subsistence fishing gear,11.64502787,0.665379099,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1953,small scale gillnets,11.19103812,0.619563881,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1953,subsistence fishing gear,11.77815294,0.652068027,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1954,small scale gillnets,12.47701217,0.704047665,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1954,subsistence fishing gear,11.8998927,0.671482207,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1955,small scale gillnets,11.66900535,0.650802366,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1955,subsistence fishing gear,12.01024716,0.669834064,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1956,small scale gillnets,12.95163305,0.842454915,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1956,subsistence fishing gear,12.10921632,0.787658882,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1957,small scale gillnets,12.14027989,0.822341805,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1957,subsistence fishing gear,12.19680018,0.826170299,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1958,small scale gillnets,13.41956124,1.015219787,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1958,subsistence fishing gear,12.27299873,0.928479772,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1959,small scale gillnets,12.60486173,1.0498669,"Yellow fin mojarra
(Gerres cinereus)"
