"data_layer","uncertainty_score","year","sci_name","comm_name","functional_group","commercial_group","fishing_entity","fishing_sector","catch_type","reporting_status","gear_type","end_use_type","catch_mt","value_usd"
"Reconstructed domestic catch",2,1969,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",18.9342850764,26862.2785150159
"Reconstructed domestic catch",1,1969,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",12.833311637,6992.08996234026
"Reconstructed domestic catch",2,1969,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,419.107
"Reconstructed domestic catch",2,1969,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",14.338329442,7812.08250866551
"Reconstructed domestic catch",1,1969,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",12.833311637,13499.6813437853
"Reconstructed domestic catch",2,1969,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,809.173076923077
"Reconstructed domestic catch",2,1969,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",14.338329442,15082.8471982425
"Reconstructed domestic catch",2,1969,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",11.0956015147,2.51007023102646
"Reconstructed domestic catch",2,1969,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.1361442831,0.0307988450904507
"Reconstructed domestic catch",2,1969,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",103.2436523194,23.3559954263954
"Reconstructed domestic catch",2,1969,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",4.9211007483,1968.12042777209
"Reconstructed domestic catch",2,1969,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.0603824617,24.1490598251174
"Reconstructed domestic catch",2,1969,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",45.7904345263,18313.1974322656
"Reconstructed domestic catch",2,1969,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",13.5873147947,3.07375083186993
"Reconstructed domestic catch",2,1969,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.1667178864,0.0377152696953395
"Reconstructed domestic catch",2,1969,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",126.4288378387,28.600996690708
"Reconstructed domestic catch",2,1969,"Sphyrna lewini","Scalloped hammerhead","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",99.9123259616,39958.4360834454
"Reconstructed domestic catch",1,1969,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",12.833311637,2.90317865715066
"Reconstructed domestic catch",2,1969,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,0.174016996923077
"Reconstructed domestic catch",2,1969,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",14.338329442,3.24364693950058
"Reconstructed domestic catch",1,1969,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",12.833311637,10675.6687681279
"Reconstructed domestic catch",2,1969,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,639.901307692308
"Reconstructed domestic catch",2,1969,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",14.338329442,11927.6504880502
"Reconstructed domestic catch",1,1969,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",0.9375099611,0.212085468421483
"Reconstructed domestic catch",2,1969,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.0561944983,0.0127124371815108
"Reconstructed domestic catch",2,1969,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",1.0474557977,0.236957646014477
"Reconstructed domestic catch",1,1969,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",12.833311637,2.90317865715066
"Reconstructed domestic catch",2,1969,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale seine nets","Direct human consumption",0.0268172635,0.00606665756718407
"Reconstructed domestic catch",2,1969,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.6160620704,0.139366852830553
"Reconstructed domestic catch",2,1969,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.1263514353,0.0285834865253396
"Reconstructed domestic catch",2,1969,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale seine nets","Direct human consumption",0.4998691872,0.113081455252864
"Reconstructed domestic catch",2,1969,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",11.4832911986,2.59777420392721
"Reconstructed domestic catch",2,1969,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",2.3551690562,0.532791280320497
"Reconstructed domestic catch",1,1969,"Gerres cinereus","Yellow fin mojarra","Small reef assoc. fish (<30 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",12.833311637,2.90317865715066
"Reconstructed domestic catch",2,1969,"Gerres cinereus","Yellow fin mojarra","Small reef assoc. fish (<30 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,0.174016996923077
"Reconstructed domestic catch",2,1969,"Gerres cinereus","Yellow fin mojarra","Small reef assoc. fish (<30 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",14.338329442,3.24364693950058
